Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-09-12,757.35,772.66,756.0,771.49,771.49,Amazon,2016,9
2016-09-13,768.77,769.89,759.05,761.01,761.01,Amazon,2016,9
2016-09-14,762.2,767.5,758.85,761.09,761.09,Amazon,2016,9
2016-09-15,762.0,770.87,757.58,769.69,769.69,Amazon,2016,9
2016-09-16,773.28,780.46,771.66,778.52,778.52,Amazon,2016,9
2016-09-19,779.97,781.94,771.0,775.1,775.1,Amazon,2016,9
2016-09-20,776.0,781.37,776.0,780.22,780.22,Amazon,2016,9
2016-09-21,783.25,790.69,779.01,789.74,789.74,Amazon,2016,9
2016-09-22,794.27,805.89,794.27,804.7,804.7,Amazon,2016,9
2016-09-23,803.13,807.75,802.12,805.75,805.75,Amazon,2016,9
2016-09-26,801.8,805.93,797.15,799.16,799.16,Amazon,2016,9
2016-09-27,801.85,816.64,801.11,816.11,816.11,Amazon,2016,9
2016-09-28,818.0,830.14,817.03,828.72,828.72,Amazon,2016,9
2016-09-29,828.26,837.5,824.63,829.05,829.05,Amazon,2016,9
2016-09-30,832.61,839.95,832.4,837.31,837.31,Amazon,2016,9
2016-10-03,836.0,839.86,831.25,836.74,836.74,Amazon,2016,10
2016-10-04,840.91,842.37,830.26,834.03,834.03,Amazon,2016,10
2016-10-05,838.0,845.67,836.12,844.36,844.36,Amazon,2016,10
2016-10-06,843.7,847.21,840.6,841.66,841.66,Amazon,2016,10
2016-10-07,845.79,845.95,837.45,839.43,839.43,Amazon,2016,10
2016-10-10,843.25,845.2,840.27,841.71,841.71,Amazon,2016,10
2016-10-11,841.02,841.29,828.35,831.0,831.0,Amazon,2016,10
2016-10-12,834.0,837.67,830.1,834.09,834.09,Amazon,2016,10
2016-10-13,829.0,831.8,821.21,829.28,829.28,Amazon,2016,10
2016-10-14,835.08,835.74,822.96,822.96,822.96,Amazon,2016,10
2016-10-17,821.5,822.0,811.68,812.95,812.95,Amazon,2016,10
2016-10-18,822.11,823.26,815.02,817.65,817.65,Amazon,2016,10
2016-10-19,820.4,820.67,815.17,817.69,817.69,Amazon,2016,10
2016-10-20,813.99,815.71,803.1,810.32,810.32,Amazon,2016,10
2016-10-21,809.36,819.42,809.0,818.99,818.99,Amazon,2016,10
2016-10-24,824.95,838.3,822.21,838.09,838.09,Amazon,2016,10
2016-10-25,839.3,843.09,833.22,835.18,835.18,Amazon,2016,10
2016-10-26,832.76,833.44,820.0,822.59,822.59,Amazon,2016,10
2016-10-27,831.24,831.72,815.43,818.36,818.36,Amazon,2016,10
2016-10-28,782.0,789.49,774.61,776.32,776.32,Amazon,2016,10
2016-10-31,781.03,793.7,780.11,789.82,789.82,Amazon,2016,10
2016-11-01,799.0,800.84,776.71,785.41,785.41,Amazon,2016,11
2016-11-02,783.93,784.75,763.55,765.56,765.56,Amazon,2016,11
2016-11-03,765.05,777.0,764.0,767.03,767.03,Amazon,2016,11
2016-11-04,762.79,766.0,753.23,755.05,755.05,Amazon,2016,11
2016-11-07,771.64,787.73,770.94,784.93,784.93,Amazon,2016,11
2016-11-08,784.97,791.74,779.1,787.75,787.75,Amazon,2016,11
2016-11-09,764.0,777.5,760.09,771.88,771.88,Amazon,2016,11
2016-11-10,778.81,778.83,717.7,742.38,742.38,Amazon,2016,11
2016-11-11,735.73,743.26,728.9,739.01,739.01,Amazon,2016,11
2016-11-14,745.51,746.0,710.1,719.07,719.07,Amazon,2016,11
2016-11-15,730.0,746.78,725.99,743.24,743.24,Amazon,2016,11
2016-11-16,739.88,749.87,735.61,746.49,746.49,Amazon,2016,11
2016-11-17,749.32,757.5,748.0,756.4,756.4,Amazon,2016,11
2016-11-18,761.0,767.74,757.64,760.16,760.16,Amazon,2016,11
2016-11-21,766.0,780.35,765.11,780.0,780.0,Amazon,2016,11
2016-11-22,788.17,792.4,781.0,785.33,785.33,Amazon,2016,11
2016-11-23,781.73,781.75,773.12,780.12,780.12,Amazon,2016,11
2016-11-25,786.5,786.75,777.9,780.37,780.37,Amazon,2016,11
2016-11-28,776.99,777.0,764.24,766.77,766.77,Amazon,2016,11
2016-11-29,768.0,769.89,761.32,762.52,762.52,Amazon,2016,11
2016-11-30,762.0,768.09,750.25,750.57,750.57,Amazon,2016,11
2016-12-01,752.41,753.37,738.03,743.65,743.65,Amazon,2016,12
2016-12-02,743.4,748.49,736.7,740.34,740.34,Amazon,2016,12
2016-12-05,745.0,761.49,742.0,759.36,759.36,Amazon,2016,12
2016-12-06,763.99,768.24,757.25,764.72,764.72,Amazon,2016,12
2016-12-07,764.55,770.42,755.82,770.42,770.42,Amazon,2016,12
2016-12-08,771.87,773.79,765.19,767.33,767.33,Amazon,2016,12
2016-12-09,770.0,770.25,765.34,768.66,768.66,Amazon,2016,12
2016-12-12,766.4,766.89,757.2,760.12,760.12,Amazon,2016,12
2016-12-13,764.96,782.46,762.0,774.34,774.34,Amazon,2016,12
2016-12-14,778.25,780.86,762.81,768.82,768.82,Amazon,2016,12
2016-12-15,766.28,769.1,760.31,761.0,761.0,Amazon,2016,12
2016-12-16,765.0,765.13,754.0,757.77,757.77,Amazon,2016,12
2016-12-19,758.89,770.5,756.16,766.0,766.0,Amazon,2016,12
2016-12-20,768.65,774.39,767.71,771.22,771.22,Amazon,2016,12
2016-12-21,770.0,771.22,765.7,770.6,770.6,Amazon,2016,12
2016-12-22,768.12,771.21,763.02,766.34,766.34,Amazon,2016,12
2016-12-23,764.55,766.5,757.99,760.59,760.59,Amazon,2016,12
2016-12-27,763.4,774.65,761.2,771.4,771.4,Amazon,2016,12
2016-12-28,776.25,780.0,770.5,772.13,772.13,Amazon,2016,12
2016-12-29,772.4,773.4,760.85,765.15,765.15,Amazon,2016,12
2016-12-30,766.47,767.4,748.28,749.87,749.87,Amazon,2016,12
2017-01-03,757.92,758.76,747.7,753.67,753.67,Amazon,2017,1
2017-01-04,758.39,759.68,754.2,757.18,757.18,Amazon,2017,1
2017-01-05,761.55,782.4,760.26,780.45,780.45,Amazon,2017,1
2017-01-06,782.36,799.44,778.48,795.99,795.99,Amazon,2017,1
2017-01-09,798.0,801.77,791.77,796.92,796.92,Amazon,2017,1
2017-01-10,796.6,798.0,789.54,795.9,795.9,Amazon,2017,1
2017-01-11,793.66,799.5,789.51,799.02,799.02,Amazon,2017,1
2017-01-12,800.31,814.13,799.5,813.64,813.64,Amazon,2017,1
2017-01-13,814.32,821.65,811.4,817.14,817.14,Amazon,2017,1
2017-01-17,815.7,816.0,803.44,809.72,809.72,Amazon,2017,1
2017-01-18,809.5,811.73,804.27,807.48,807.48,Amazon,2017,1
2017-01-19,810.0,813.51,807.32,809.04,809.04,Amazon,2017,1
2017-01-20,815.28,816.02,806.26,808.33,808.33,Amazon,2017,1
2017-01-23,806.8,818.5,805.08,817.88,817.88,Amazon,2017,1
2017-01-24,822.0,823.99,814.5,822.44,822.44,Amazon,2017,1
2017-01-25,825.79,837.42,825.29,836.52,836.52,Amazon,2017,1
2017-01-26,835.53,843.84,833.0,839.15,839.15,Amazon,2017,1
2017-01-27,839.0,839.7,829.44,835.77,835.77,Amazon,2017,1
2017-01-30,833.0,833.5,816.38,830.38,830.38,Amazon,2017,1
2017-01-31,823.75,826.99,819.56,823.48,823.48,Amazon,2017,1
2017-02-01,829.21,833.78,824.94,832.35,832.35,Amazon,2017,2
2017-02-02,836.59,842.49,828.26,839.95,839.95,Amazon,2017,2
2017-02-03,806.72,818.3,804.0,810.2,810.2,Amazon,2017,2
2017-02-06,809.8,810.72,803.0,807.64,807.64,Amazon,2017,2
2017-02-07,809.31,816.16,807.5,812.5,812.5,Amazon,2017,2
2017-02-08,812.69,821.48,812.5,819.71,819.71,Amazon,2017,2
2017-02-09,821.6,825.0,819.71,821.36,821.36,Amazon,2017,2
2017-02-10,823.82,828.0,822.85,827.46,827.46,Amazon,2017,2
2017-02-13,831.62,843.0,828.55,836.53,836.53,Amazon,2017,2
