Date,Open,High,Low,Close,Adj Close,Stock,Year,Month
2016-08-26,107.41,107.95,106.31,106.94,101.11,Apple,2016,8
2016-08-29,106.62,107.44,106.29,106.82,100.99,Apple,2016,8
2016-08-30,105.8,106.5,105.5,106.0,100.22,Apple,2016,8
2016-08-31,105.66,106.57,105.64,106.1,100.31,Apple,2016,8
2016-09-01,106.14,106.8,105.62,106.73,100.91,Apple,2016,9
2016-09-02,107.7,108.0,106.82,107.73,101.85,Apple,2016,9
2016-09-06,107.9,108.3,107.51,107.7,101.82,Apple,2016,9
2016-09-07,107.83,108.76,107.07,108.36,102.45,Apple,2016,9
2016-09-08,107.25,107.27,105.24,105.52,99.76,Apple,2016,9
2016-09-09,104.64,105.72,103.13,103.13,97.5,Apple,2016,9
2016-09-12,102.65,105.72,102.53,105.44,99.69,Apple,2016,9
2016-09-13,107.51,108.79,107.24,107.95,102.06,Apple,2016,9
2016-09-14,108.73,113.03,108.6,111.77,105.67,Apple,2016,9
2016-09-15,113.86,115.73,113.49,115.57,109.27,Apple,2016,9
2016-09-16,115.12,116.13,114.04,114.92,108.65,Apple,2016,9
2016-09-19,115.19,116.18,113.25,113.58,107.38,Apple,2016,9
2016-09-20,113.05,114.12,112.51,113.57,107.37,Apple,2016,9
2016-09-21,113.85,113.99,112.44,113.55,107.36,Apple,2016,9
2016-09-22,114.35,114.94,114.0,114.62,108.37,Apple,2016,9
2016-09-23,114.42,114.79,111.55,112.71,106.56,Apple,2016,9
2016-09-26,111.64,113.39,111.55,112.88,106.72,Apple,2016,9
2016-09-27,113.0,113.18,112.34,113.09,106.92,Apple,2016,9
2016-09-28,113.69,114.64,113.43,113.95,107.73,Apple,2016,9
2016-09-29,113.16,113.8,111.8,112.18,106.06,Apple,2016,9
2016-09-30,112.46,113.37,111.8,113.05,106.88,Apple,2016,9
2016-10-03,112.71,113.05,112.28,112.52,106.38,Apple,2016,10
2016-10-04,113.06,114.31,112.63,113.0,106.84,Apple,2016,10
2016-10-05,113.4,113.66,112.69,113.05,106.88,Apple,2016,10
2016-10-06,113.7,114.34,113.13,113.89,107.68,Apple,2016,10
2016-10-07,114.31,114.56,113.51,114.06,107.84,Apple,2016,10
2016-10-10,115.02,116.75,114.72,116.05,109.72,Apple,2016,10
2016-10-11,117.7,118.69,116.2,116.3,109.96,Apple,2016,10
2016-10-12,117.35,117.98,116.75,117.34,110.94,Apple,2016,10
2016-10-13,116.79,117.44,115.72,116.98,110.6,Apple,2016,10
2016-10-14,117.88,118.17,117.13,117.63,111.21,Apple,2016,10
2016-10-17,117.33,117.84,116.78,117.55,111.14,Apple,2016,10
2016-10-18,118.18,118.21,117.45,117.47,111.06,Apple,2016,10
2016-10-19,117.25,117.76,113.8,117.12,110.73,Apple,2016,10
2016-10-20,116.86,117.38,116.33,117.06,110.67,Apple,2016,10
2016-10-21,116.81,116.91,116.28,116.6,110.24,Apple,2016,10
2016-10-24,117.1,117.74,117.0,117.65,111.23,Apple,2016,10
2016-10-25,117.95,118.36,117.31,118.25,111.8,Apple,2016,10
2016-10-26,114.31,115.7,113.31,115.59,109.28,Apple,2016,10
2016-10-27,115.39,115.86,114.1,114.48,108.23,Apple,2016,10
2016-10-28,113.87,115.21,113.45,113.72,107.52,Apple,2016,10
2016-10-31,113.65,114.23,113.2,113.54,107.35,Apple,2016,10
2016-11-01,113.46,113.77,110.53,111.49,105.41,Apple,2016,11
2016-11-02,111.4,112.35,111.23,111.59,105.5,Apple,2016,11
2016-11-03,110.98,111.46,109.55,109.83,104.38,Apple,2016,11
2016-11-04,108.53,110.25,108.11,108.84,103.44,Apple,2016,11
2016-11-07,110.08,110.51,109.46,110.41,104.93,Apple,2016,11
2016-11-08,110.31,111.72,109.7,111.06,105.55,Apple,2016,11
2016-11-09,109.88,111.32,108.05,110.88,105.38,Apple,2016,11
2016-11-10,111.09,111.09,105.83,107.79,102.44,Apple,2016,11
2016-11-11,107.12,108.87,106.55,108.43,103.05,Apple,2016,11
2016-11-14,107.71,107.81,104.08,105.71,100.46,Apple,2016,11
2016-11-15,106.57,107.68,106.16,107.11,101.79,Apple,2016,11
2016-11-16,106.7,110.23,106.6,109.99,104.53,Apple,2016,11
2016-11-17,109.81,110.35,108.83,109.95,104.49,Apple,2016,11
2016-11-18,109.72,110.54,109.66,110.06,104.6,Apple,2016,11
2016-11-21,110.12,111.99,110.01,111.73,106.18,Apple,2016,11
2016-11-22,111.95,112.42,111.4,111.8,106.25,Apple,2016,11
2016-11-23,111.36,111.51,110.33,111.23,105.71,Apple,2016,11
2016-11-25,111.13,111.87,110.95,111.79,106.24,Apple,2016,11
2016-11-28,111.43,112.46,111.39,111.57,106.03,Apple,2016,11
2016-11-29,110.78,112.03,110.07,111.46,105.93,Apple,2016,11
2016-11-30,111.6,112.2,110.27,110.52,105.03,Apple,2016,11
2016-12-01,110.36,110.94,109.03,109.49,104.05,Apple,2016,12
2016-12-02,109.17,110.09,108.85,109.9,104.44,Apple,2016,12
2016-12-05,110.0,110.03,108.25,109.11,103.69,Apple,2016,12
2016-12-06,109.5,110.36,109.19,109.95,104.49,Apple,2016,12
2016-12-07,109.26,111.19,109.16,111.03,105.52,Apple,2016,12
2016-12-08,110.86,112.43,110.6,112.12,106.55,Apple,2016,12
2016-12-09,112.31,114.7,112.31,113.95,108.29,Apple,2016,12
2016-12-12,113.29,115.0,112.49,113.3,107.68,Apple,2016,12
2016-12-13,113.84,115.92,113.75,115.19,109.47,Apple,2016,12
2016-12-14,115.04,116.2,114.98,115.19,109.47,Apple,2016,12
2016-12-15,115.38,116.73,115.23,115.82,110.07,Apple,2016,12
2016-12-16,116.47,116.5,115.64,115.97,110.21,Apple,2016,12
2016-12-19,115.8,117.38,115.75,116.64,110.85,Apple,2016,12
2016-12-20,116.74,117.5,116.68,116.95,111.14,Apple,2016,12
2016-12-21,116.8,117.4,116.78,117.06,111.25,Apple,2016,12
2016-12-22,116.35,116.51,115.64,116.29,110.52,Apple,2016,12
2016-12-23,115.59,116.52,115.59,116.52,110.74,Apple,2016,12
2016-12-27,116.52,117.8,116.49,117.26,111.44,Apple,2016,12
2016-12-28,117.52,118.02,116.2,116.76,110.96,Apple,2016,12
2016-12-29,116.45,117.11,116.4,116.73,110.93,Apple,2016,12
2016-12-30,116.65,117.2,115.43,115.82,110.07,Apple,2016,12
2017-01-03,115.8,116.33,114.76,116.15,110.38,Apple,2017,1
2017-01-04,115.85,116.51,115.75,116.02,110.26,Apple,2017,1
2017-01-05,115.92,116.86,115.81,116.61,110.82,Apple,2017,1
2017-01-06,116.78,118.16,116.47,117.91,112.06,Apple,2017,1
2017-01-09,117.95,119.43,117.94,118.99,113.08,Apple,2017,1
2017-01-10,118.77,119.38,118.3,119.11,113.2,Apple,2017,1
2017-01-11,118.74,119.93,118.6,119.75,113.8,Apple,2017,1
2017-01-12,118.9,119.3,118.21,119.25,113.33,Apple,2017,1
2017-01-13,119.11,119.62,118.81,119.04,113.13,Apple,2017,1
2017-01-17,118.34,120.24,118.22,120.0,114.04,Apple,2017,1
2017-01-18,120.0,120.5,119.71,119.99,114.03,Apple,2017,1
